pod,namespace
"calico-etcd-xwcgm","kube-system"
"calico-node-br5zr","kube-system"
"calico-node-k9fw9","kube-system"
"calico-node-tpccm","kube-system"
"etcd-ip-10-0-1-212.us-west-2.compute.internal","kube-system"
"kikeyama-splunk-kubernetes-logging-vqls4","splunk-connect-k8s"
"kikeyama-splunk-kubernetes-logging-xt7b4","splunk-connect-k8s"
"kube-apiserver-ip-10-0-1-212.us-west-2.compute.internal","kube-system"
"kube-controller-manager-ip-10-0-1-212.us-west-2.compute.internal","kube-system"
"kubernetes-dashboard-569fc6bc94-z9cgl","kube-system"
"mysql-deployment-6ddbd65db-js6t9","splunk-demo"
"mysql-deployment-6ddbd65db-vg4sz","splunk-demo"
"nginx-ingress-controller-55fb8b75d4-j6nt4","nginx-demo"
"original-crocodile-nginx-ingress-controller-677c9c5558-zfjh7","kikeyama-sample"
